yikama_yeri,metrekare,leke_durumu,parca_sayisi,il,ilce,fiyat
Yerinde,30,"Hayir, standart yeterli",1,Adana,Cukurova,3630
Yikamaci,30,"Evet, cikmasi gereken lekeler var",2,Ankara,Cankaya,1509
Yikamaci,40,"Hayir, standart yeterli",1,Ankara,Cankaya,2503
Yikamaci,30,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,842
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,2589
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Ankara,Kecioren,3725
Yikamaci,10,"Hayir, standart yeterli",2,Aydin,Efeler,2554
Yikamaci,20,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,1661
Yerinde,20,"Evet, cikmasi gereken lekeler var",1,Istanbul,Kadikoy,2999
Yerinde,10,"Hayir, standart yeterli",1,Istanbul,Kadikoy,1767
Yerinde,10,"Hayir, standart yeterli",4,Adana,Cukurova,2185
Yikamaci,30,"Hayir, standart yeterli",3,Istanbul,Besiktas,2514
Yerinde,40,"Hayir, standart yeterli",1,Ankara,Cankaya,2396
Yikamaci,40,"Evet, cikmasi gereken lekeler var",1,Ankara,Cankaya,754
Yikamaci,10,"Evet, cikmasi gereken lekeler var",1,Ankara,Cankaya,3248
Yikamaci,40,"Hayir, standart yeterli",3,Antalya,Kepez,3229
Yikamaci,40,"Hayir, standart yeterli",2,Ankara,Cankaya,1007
Yerinde,40,"Evet, cikmasi gereken lekeler var",3,Istanbul,Besiktas,3290
Yerinde,10,"Hayir, standart yeterli",3,Aydin,Nazilli,1328
Yerinde,30,"Evet, cikmasi gereken lekeler var",3,Ankara,Cankaya,890
Yerinde,40,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,2759
Yerinde,20,"Evet, cikmasi gereken lekeler var",2,Aydin,Efeler,3364
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Aydin,Efeler,1730
Yerinde,30,"Evet, cikmasi gereken lekeler var",1,Aydin,Nazilli,1772
Yerinde,40,"Hayir, standart yeterli",1,Ankara,Kecioren,3565
Yikamaci,10,"Evet, cikmasi gereken lekeler var",1,Istanbul,Kadikoy,989
Yerinde,10,"Hayir, standart yeterli",1,Aydin,Nazilli,623
Yerinde,20,"Evet, cikmasi gereken lekeler var",2,Ankara,Cankaya,1835
Yerinde,40,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,3767
Yikamaci,10,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,3519
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Ankara,Cankaya,1377
Yerinde,20,"Hayir, standart yeterli",2,Aydin,Efeler,2471
Yikamaci,30,"Evet, cikmasi gereken lekeler var",1,Aydin,Nazilli,1735
Yikamaci,10,"Hayir, standart yeterli",4,Ankara,Cankaya,3786
Yerinde,30,"Evet, cikmasi gereken lekeler var",4,Ankara,Cankaya,2831
Yikamaci,30,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,2334
Yikamaci,30,"Hayir, standart yeterli",1,Antalya,Kepez,2071
Yerinde,20,"Hayir, standart yeterli",1,Istanbul,Kadikoy,780
Yikamaci,30,"Hayir, standart yeterli",4,Aydin,Efeler,3144
Yikamaci,20,"Hayir, standart yeterli",4,Istanbul,Kadikoy,2438
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Ankara,Kecioren,1718
Yikamaci,10,"Hayir, standart yeterli",4,Aydin,Nazilli,1666
Yikamaci,40,"Hayir, standart yeterli",1,Ankara,Kecioren,3862
Yerinde,20,"Hayir, standart yeterli",4,Antalya,Kepez,2134
Yerinde,10,"Hayir, standart yeterli",2,Istanbul,Kadikoy,669
Yerinde,40,"Evet, cikmasi gereken lekeler var",2,Antalya,Kepez,2339
Yerinde,40,"Hayir, standart yeterli",2,Istanbul,Kadikoy,1789
Yikamaci,30,"Hayir, standart yeterli",2,Istanbul,Besiktas,2782
Yerinde,30,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,3735
Yikamaci,20,"Hayir, standart yeterli",3,Antalya,Muratpasa,2576
Yikamaci,10,"Evet, cikmasi gereken lekeler var",3,Adana,Cukurova,3680
Yerinde,30,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,810
Yerinde,20,"Evet, cikmasi gereken lekeler var",2,Istanbul,Besiktas,2873
Yikamaci,20,"Hayir, standart yeterli",1,Aydin,Efeler,1226
Yerinde,20,"Hayir, standart yeterli",4,Aydin,Efeler,1034
Yikamaci,40,"Hayir, standart yeterli",1,Adana,Cukurova,3212
Yerinde,40,"Hayir, standart yeterli",4,Aydin,Efeler,2037
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,1056
Yerinde,20,"Hayir, standart yeterli",1,Ankara,Cankaya,1757
Yikamaci,20,"Hayir, standart yeterli",2,Adana,Cukurova,2900
Yerinde,40,"Evet, cikmasi gereken lekeler var",4,Antalya,Muratpasa,2505
Yerinde,40,"Evet, cikmasi gereken lekeler var",4,Istanbul,Kadikoy,1873
Yerinde,10,"Hayir, standart yeterli",4,Istanbul,Besiktas,3811
Yikamaci,30,"Hayir, standart yeterli",1,Istanbul,Besiktas,2004
Yerinde,20,"Evet, cikmasi gereken lekeler var",2,Ankara,Cankaya,3720
Yikamaci,40,"Hayir, standart yeterli",2,Aydin,Efeler,3897
Yikamaci,10,"Hayir, standart yeterli",3,Aydin,Nazilli,3029
Yerinde,30,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,2105
Yikamaci,40,"Evet, cikmasi gereken lekeler var",2,Adana,Seyhan,814
Yerinde,20,"Evet, cikmasi gereken lekeler var",2,Aydin,Nazilli,2350
Yerinde,20,"Hayir, standart yeterli",4,Istanbul,Besiktas,1247
Yerinde,20,"Hayir, standart yeterli",3,Aydin,Nazilli,3255
Yikamaci,40,"Evet, cikmasi gereken lekeler var",4,Ankara,Kecioren,2270
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Ankara,Cankaya,2561
Yerinde,40,"Hayir, standart yeterli",1,Adana,Seyhan,1354
Yerinde,40,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,946
Yerinde,20,"Hayir, standart yeterli",3,Ankara,Cankaya,1107
Yikamaci,40,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,3590
Yerinde,40,"Evet, cikmasi gereken lekeler var",3,Istanbul,Besiktas,2285
Yerinde,30,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,1169
Yerinde,30,"Hayir, standart yeterli",3,Adana,Cukurova,2003
Yerinde,40,"Hayir, standart yeterli",4,Istanbul,Besiktas,3096
Yerinde,40,"Hayir, standart yeterli",1,Antalya,Kepez,1732
Yerinde,40,"Evet, cikmasi gereken lekeler var",3,Aydin,Efeler,2453
Yikamaci,20,"Hayir, standart yeterli",4,Adana,Seyhan,893
Yerinde,10,"Hayir, standart yeterli",4,Aydin,Nazilli,3798
Yerinde,40,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,3821
Yikamaci,20,"Evet, cikmasi gereken lekeler var",4,Aydin,Efeler,2301
Yerinde,10,"Hayir, standart yeterli",2,Aydin,Efeler,3079
Yikamaci,40,"Hayir, standart yeterli",2,Istanbul,Kadikoy,2037
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,3279
Yerinde,10,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,2608
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,2187
Yerinde,30,"Hayir, standart yeterli",1,Antalya,Muratpasa,1462
Yikamaci,20,"Hayir, standart yeterli",1,Antalya,Muratpasa,1069
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Adana,Seyhan,2784
