il,ilce,koltuk_tipi,koltuk_sayisi,leke_durumu,fiyat
Bursa,Yıldırım,İkili,5,"Hayır, genel temizlik yeterli",1423 TL
Bursa,Nilüfer,İkili,1,"Evet, zor lekeler var",1682 TL
Bursa,Nilüfer,U Köşe,1,"Evet, zor lekeler var",1327 TL
İstanbul,Kadıköy,İkili,5,"Evet, zor lekeler var",2002 TL
Antalya,Muratpaşa,Tekli,6,"Hayır, genel temizlik yeterli",1633 TL
İstanbul,Üsküdar,L Köşe,4,"Hayır, genel temizlik yeterli",1684 TL
İstanbul,Üsküdar,Üçlü,6,"Hayır, genel temizlik yeterli",426 TL
İstanbul,Kadıköy,Üçlü,6,"Evet, zor lekeler var",2425 TL
Antalya,Kepez,Üçlü,1,"Evet, zor lekeler var",2033 TL
Antalya,Alanya,Üçlü,2,"Hayır, genel temizlik yeterli",2416 TL
İstanbul,Üsküdar,Üçlü,5,"Evet, zor lekeler var",1989 TL
Ankara,Keçiören,Üçlü,4,"Evet, zor lekeler var",794 TL
İstanbul,Üsküdar,Üçlü,5,"Evet, zor lekeler var",2072 TL
İzmir,Buca,Üçlü,1,"Hayır, genel temizlik yeterli",2187 TL
Ankara,Çankaya,Üçlü,4,"Evet, zor lekeler var",473 TL
İstanbul,Bakırköy,Üçlü,3,"Hayır, genel temizlik yeterli",1762 TL
Bursa,Osmangazi,Tekli,2,"Hayır, genel temizlik yeterli",394 TL
Bursa,Yıldırım,Üçlü,3,"Hayır, genel temizlik yeterli",2456 TL
Antalya,Muratpaşa,Tekli,2,"Hayır, genel temizlik yeterli",1010 TL
Ankara,Keçiören,L Köşe,2,"Evet, zor lekeler var",410 TL
İzmir,Buca,L Köşe,6,"Evet, zor lekeler var",1628 TL
Ankara,Etimesgut,L Köşe,2,"Evet, zor lekeler var",1171 TL
İstanbul,Kadıköy,Tekli,4,"Evet, zor lekeler var",1020 TL
Ankara,Keçiören,Üçlü,6,"Evet, zor lekeler var",1376 TL
Bursa,Yıldırım,L Köşe,5,"Evet, zor lekeler var",1203 TL
Antalya,Kepez,İkili,5,"Evet, zor lekeler var",2074 TL
Bursa,Nilüfer,İkili,2,"Hayır, genel temizlik yeterli",574 TL
Ankara,Mamak,İkili,6,"Hayır, genel temizlik yeterli",1172 TL
İstanbul,Kadıköy,Üçlü,1,"Evet, zor lekeler var",1540 TL
İstanbul,Bakırköy,L Köşe,6,"Hayır, genel temizlik yeterli",1356 TL
Antalya,Alanya,İkili,1,"Evet, zor lekeler var",1145 TL
Bursa,Nilüfer,İkili,4,"Hayır, genel temizlik yeterli",510 TL
Ankara,Mamak,İkili,1,"Hayır, genel temizlik yeterli",2489 TL
Bursa,Osmangazi,U Köşe,3,"Evet, zor lekeler var",2412 TL
İzmir,Buca,Üçlü,6,"Evet, zor lekeler var",1803 TL
Antalya,Muratpaşa,Tekli,2,"Hayır, genel temizlik yeterli",1641 TL
Antalya,Alanya,L Köşe,3,"Evet, zor lekeler var",1778 TL
Ankara,Keçiören,L Köşe,2,"Evet, zor lekeler var",1479 TL
İstanbul,Bakırköy,İkili,3,"Evet, zor lekeler var",2392 TL
Bursa,Osmangazi,U Köşe,1,"Evet, zor lekeler var",1079 TL
Ankara,Mamak,Üçlü,2,"Hayır, genel temizlik yeterli",1380 TL
Ankara,Mamak,Üçlü,4,"Evet, zor lekeler var",1454 TL
İstanbul,Bakırköy,L Köşe,5,"Evet, zor lekeler var",497 TL
İzmir,Bornova,İkili,5,"Evet, zor lekeler var",491 TL
Bursa,Yıldırım,Tekli,3,"Evet, zor lekeler var",411 TL
İzmir,Buca,U Köşe,3,"Evet, zor lekeler var",1554 TL
Bursa,Nilüfer,U Köşe,3,"Evet, zor lekeler var",2186 TL
Ankara,Çankaya,L Köşe,6,"Hayır, genel temizlik yeterli",509 TL
Antalya,Kepez,Üçlü,3,"Hayır, genel temizlik yeterli",2271 TL
Ankara,Mamak,L Köşe,6,"Evet, zor lekeler var",1478 TL
Antalya,Kepez,Tekli,4,"Hayır, genel temizlik yeterli",1553 TL
İstanbul,Beşiktaş,Tekli,2,"Evet, zor lekeler var",1434 TL
Antalya,Alanya,İkili,4,"Evet, zor lekeler var",562 TL
Bursa,Osmangazi,Tekli,6,"Hayır, genel temizlik yeterli",641 TL
İstanbul,Kadıköy,Üçlü,3,"Evet, zor lekeler var",1078 TL
Bursa,Yıldırım,Tekli,4,"Hayır, genel temizlik yeterli",789 TL
Antalya,Alanya,Tekli,4,"Evet, zor lekeler var",2143 TL
Bursa,Nilüfer,Üçlü,6,"Hayır, genel temizlik yeterli",773 TL
İstanbul,Beşiktaş,L Köşe,1,"Hayır, genel temizlik yeterli",904 TL
İzmir,Bornova,Üçlü,2,"Hayır, genel temizlik yeterli",748 TL
Antalya,Muratpaşa,L Köşe,3,"Evet, zor lekeler var",1309 TL
İstanbul,Beşiktaş,L Köşe,5,"Evet, zor lekeler var",1249 TL
İzmir,Karşıyaka,Tekli,4,"Evet, zor lekeler var",1217 TL
İzmir,Konak,İkili,6,"Hayır, genel temizlik yeterli",663 TL
Bursa,Nilüfer,Tekli,5,"Hayır, genel temizlik yeterli",386 TL
Bursa,Nilüfer,L Köşe,3,"Hayır, genel temizlik yeterli",1287 TL
Antalya,Muratpaşa,U Köşe,2,"Hayır, genel temizlik yeterli",1888 TL
İstanbul,Beşiktaş,Üçlü,1,"Hayır, genel temizlik yeterli",2382 TL
Antalya,Kepez,U Köşe,2,"Evet, zor lekeler var",1322 TL
İstanbul,Üsküdar,Üçlü,4,"Evet, zor lekeler var",2334 TL
Ankara,Mamak,U Köşe,2,"Evet, zor lekeler var",1812 TL
Bursa,Nilüfer,U Köşe,2,"Hayır, genel temizlik yeterli",1500 TL
İstanbul,Beşiktaş,Üçlü,1,"Evet, zor lekeler var",1891 TL
Antalya,Alanya,İkili,5,"Hayır, genel temizlik yeterli",979 TL
Ankara,Mamak,U Köşe,3,"Hayır, genel temizlik yeterli",693 TL
İstanbul,Kadıköy,Üçlü,1,"Evet, zor lekeler var",2353 TL
İzmir,Bornova,İkili,5,"Evet, zor lekeler var",2055 TL
İstanbul,Üsküdar,Üçlü,3,"Evet, zor lekeler var",2158 TL
Ankara,Çankaya,U Köşe,4,"Hayır, genel temizlik yeterli",1877 TL
İzmir,Karşıyaka,L Köşe,5,"Evet, zor lekeler var",2212 TL
İzmir,Buca,Tekli,5,"Evet, zor lekeler var",1141 TL
Ankara,Çankaya,Üçlü,2,"Hayır, genel temizlik yeterli",1433 TL
Ankara,Etimesgut,L Köşe,1,"Hayır, genel temizlik yeterli",1049 TL
İstanbul,Beşiktaş,Tekli,3,"Hayır, genel temizlik yeterli",1902 TL
Antalya,Muratpaşa,Tekli,5,"Hayır, genel temizlik yeterli",1953 TL
İstanbul,Bakırköy,Tekli,2,"Hayır, genel temizlik yeterli",1372 TL
İstanbul,Kadıköy,U Köşe,4,"Hayır, genel temizlik yeterli",2273 TL
İstanbul,Üsküdar,İkili,3,"Evet, zor lekeler var",1205 TL
Ankara,Çankaya,L Köşe,2,"Evet, zor lekeler var",665 TL
Antalya,Alanya,İkili,4,"Evet, zor lekeler var",1513 TL
Ankara,Çankaya,Üçlü,4,"Hayır, genel temizlik yeterli",1727 TL
İstanbul,Kadıköy,L Köşe,4,"Evet, zor lekeler var",998 TL
Ankara,Keçiören,Tekli,1,"Hayır, genel temizlik yeterli",2066 TL
İstanbul,Bakırköy,Üçlü,3,"Hayır, genel temizlik yeterli",522 TL
İstanbul,Beşiktaş,Üçlü,6,"Hayır, genel temizlik yeterli",347 TL
Ankara,Mamak,Tekli,2,"Hayır, genel temizlik yeterli",666 TL
Bursa,Yıldırım,L Köşe,3,"Evet, zor lekeler var",1769 TL
Antalya,Kepez,Üçlü,4,"Hayır, genel temizlik yeterli",982 TL
Antalya,Kepez,İkili,6,"Evet, zor lekeler var",1326 TL
Antalya,Alanya,İkili,1,"Evet, zor lekeler var",1656 TL
İzmir,Bornova,Üçlü,3,"Hayır, genel temizlik yeterli",1079 TL
Bursa,Osmangazi,Tekli,1,"Evet, zor lekeler var",1905 TL
Antalya,Alanya,L Köşe,4,"Evet, zor lekeler var",932 TL
İzmir,Buca,U Köşe,3,"Evet, zor lekeler var",2287 TL
Bursa,Yıldırım,İkili,2,"Evet, zor lekeler var",1136 TL
İstanbul,Beşiktaş,U Köşe,3,"Hayır, genel temizlik yeterli",1760 TL
İstanbul,Beşiktaş,U Köşe,4,"Hayır, genel temizlik yeterli",1849 TL
Ankara,Etimesgut,Üçlü,3,"Evet, zor lekeler var",2207 TL
İstanbul,Üsküdar,İkili,3,"Evet, zor lekeler var",1297 TL
Ankara,Etimesgut,Tekli,3,"Evet, zor lekeler var",2020 TL
İstanbul,Bakırköy,Üçlü,6,"Evet, zor lekeler var",1173 TL
Bursa,Yıldırım,Üçlü,4,"Evet, zor lekeler var",2343 TL
Ankara,Keçiören,İkili,1,"Evet, zor lekeler var",1237 TL
Ankara,Keçiören,U Köşe,6,"Evet, zor lekeler var",1081 TL
İzmir,Bornova,Üçlü,2,"Evet, zor lekeler var",350 TL
Antalya,Kepez,Üçlü,1,"Hayır, genel temizlik yeterli",471 TL
Antalya,Kepez,U Köşe,4,"Hayır, genel temizlik yeterli",1730 TL
Bursa,Yıldırım,Tekli,4,"Evet, zor lekeler var",1781 TL
Antalya,Muratpaşa,İkili,5,"Evet, zor lekeler var",1479 TL
Antalya,Muratpaşa,İkili,4,"Evet, zor lekeler var",1002 TL
Ankara,Keçiören,Tekli,6,"Hayır, genel temizlik yeterli",2010 TL
Antalya,Kepez,U Köşe,3,"Hayır, genel temizlik yeterli",1720 TL
Ankara,Keçiören,U Köşe,4,"Hayır, genel temizlik yeterli",1776 TL
Bursa,Yıldırım,Tekli,4,"Evet, zor lekeler var",773 TL
Antalya,Muratpaşa,İkili,1,"Evet, zor lekeler var",1200 TL
İzmir,Karşıyaka,U Köşe,2,"Hayır, genel temizlik yeterli",1555 TL
İstanbul,Üsküdar,İkili,2,"Hayır, genel temizlik yeterli",2163 TL
Bursa,Nilüfer,U Köşe,3,"Hayır, genel temizlik yeterli",2077 TL
Antalya,Kepez,İkili,6,"Hayır, genel temizlik yeterli",1669 TL
İzmir,Konak,Tekli,3,"Hayır, genel temizlik yeterli",1133 TL
Ankara,Keçiören,Tekli,6,"Hayır, genel temizlik yeterli",1234 TL
İstanbul,Kadıköy,U Köşe,3,"Hayır, genel temizlik yeterli",847 TL
İstanbul,Bakırköy,İkili,3,"Hayır, genel temizlik yeterli",2444 TL
Ankara,Çankaya,L Köşe,6,"Evet, zor lekeler var",443 TL
Bursa,Nilüfer,Tekli,3,"Hayır, genel temizlik yeterli",1709 TL
İstanbul,Beşiktaş,Üçlü,3,"Evet, zor lekeler var",566 TL
Bursa,Yıldırım,Üçlü,3,"Evet, zor lekeler var",351 TL
Antalya,Muratpaşa,U Köşe,4,"Hayır, genel temizlik yeterli",1567 TL
Ankara,Mamak,L Köşe,6,"Evet, zor lekeler var",530 TL
Ankara,Mamak,Üçlü,3,"Evet, zor lekeler var",835 TL
Ankara,Mamak,Tekli,1,"Evet, zor lekeler var",352 TL
İstanbul,Kadıköy,Tekli,5,"Evet, zor lekeler var",465 TL
Ankara,Etimesgut,L Köşe,1,"Hayır, genel temizlik yeterli",1483 TL
Antalya,Muratpaşa,L Köşe,6,"Evet, zor lekeler var",696 TL
İstanbul,Beşiktaş,İkili,6,"Hayır, genel temizlik yeterli",733 TL
Antalya,Kepez,U Köşe,2,"Evet, zor lekeler var",2131 TL
Bursa,Nilüfer,Üçlü,1,"Hayır, genel temizlik yeterli",831 TL
Ankara,Mamak,Üçlü,4,"Hayır, genel temizlik yeterli",2226 TL
Bursa,Osmangazi,İkili,2,"Evet, zor lekeler var",313 TL
Ankara,Keçiören,İkili,4,"Hayır, genel temizlik yeterli",908 TL
Antalya,Alanya,Tekli,2,"Evet, zor lekeler var",1558 TL
İstanbul,Beşiktaş,Tekli,6,"Hayır, genel temizlik yeterli",1061 TL
Antalya,Alanya,İkili,2,"Hayır, genel temizlik yeterli",1722 TL
İstanbul,Bakırköy,Üçlü,3,"Hayır, genel temizlik yeterli",2216 TL
İzmir,Karşıyaka,U Köşe,6,"Evet, zor lekeler var",2252 TL
İstanbul,Kadıköy,Tekli,1,"Evet, zor lekeler var",1597 TL
Ankara,Etimesgut,Üçlü,1,"Evet, zor lekeler var",777 TL
Antalya,Kepez,Tekli,6,"Hayır, genel temizlik yeterli",790 TL
Antalya,Alanya,L Köşe,1,"Hayır, genel temizlik yeterli",634 TL
Antalya,Kepez,Tekli,3,"Hayır, genel temizlik yeterli",792 TL
Antalya,Alanya,Tekli,1,"Evet, zor lekeler var",2164 TL
İstanbul,Beşiktaş,İkili,2,"Evet, zor lekeler var",1889 TL
İstanbul,Beşiktaş,L Köşe,6,"Evet, zor lekeler var",1234 TL
