yikama_yeri,metrekare,leke_durumu,parca_sayisi,il,ilce,fiyat
Yerinde,20,"Hayir, standart yeterli",4,Istanbul,Kadikoy,4611
Yerinde,30,"Hayir, standart yeterli",2,Ankara,Kecioren,3552
Yikamaci,10,"Hayir, standart yeterli",2,Aydin,Efeler,2638
Yerinde,30,"Hayir, standart yeterli",4,Adana,Cukurova,2817
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Antalya,Kepez,3302
Yerinde,20,"Hayir, standart yeterli",4,Adana,Seyhan,2710
Yikamaci,35,"Evet, cikmasi gereken lekeler var",4,Ankara,Kecioren,4554
Yikamaci,45,"Hayir, standart yeterli",1,Ankara,Cankaya,4022
Yerinde,10,"Evet, cikmasi gereken lekeler var",4,Aydin,Soke,2806
Yerinde,15,"Evet, cikmasi gereken lekeler var",2,Antalya,Kepez,2963
Yikamaci,50,"Evet, cikmasi gereken lekeler var",1,Istanbul,Besiktas,5433
Yerinde,15,"Hayir, standart yeterli",2,Aydin,Soke,2502
Yerinde,35,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,5061
Yikamaci,40,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,3504
Yerinde,25,"Hayir, standart yeterli",3,Aydin,Soke,2809
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Ankara,Cankaya,4493
Yikamaci,50,"Evet, cikmasi gereken lekeler var",2,Antalya,Kepez,3947
Yikamaci,35,"Hayir, standart yeterli",1,Aydin,Soke,2939
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,2662
Yikamaci,10,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,3259
Yikamaci,35,"Evet, cikmasi gereken lekeler var",1,Istanbul,Sisli,4975
Yikamaci,50,"Evet, cikmasi gereken lekeler var",3,Adana,Cukurova,3735
Yikamaci,15,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4338
Yerinde,30,"Hayir, standart yeterli",3,Istanbul,Sisli,4687
Yerinde,15,"Hayir, standart yeterli",1,Antalya,Konyaalti,2664
