yikama_yeri,metrekare,leke_durumu,parca_sayisi,il,ilce,fiyat
Yerinde,20,"Hayir, standart yeterli",2,Ankara,Kecioren,3343
Yerinde,20,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,4692
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,3562
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,3511
Yikamaci,10,"Hayir, standart yeterli",3,Antalya,Muratpasa,3176
Yerinde,30,"Hayir, standart yeterli",1,Adana,Cukurova,2400
Yerinde,20,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4393
Yerinde,40,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4710
Yikamaci,40,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,3507
Yikamaci,40,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,3360
Yerinde,40,"Hayir, standart yeterli",4,Adana,Cukurova,3061
Yerinde,40,"Hayir, standart yeterli",3,Adana,Seyhan,2921
Yerinde,30,"Hayir, standart yeterli",2,Adana,Cukurova,2576
Yerinde,20,"Evet, cikmasi gereken lekeler var",3,Ankara,Kecioren,3762
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,3497
Yerinde,20,"Hayir, standart yeterli",3,Istanbul,Besiktas,4571
Yerinde,10,"Evet, cikmasi gereken lekeler var",2,Adana,Seyhan,2431
Yerinde,10,"Evet, cikmasi gereken lekeler var",4,Aydin,Nazilli,2921
Yerinde,20,"Evet, cikmasi gereken lekeler var",1,Antalya,Kepez,2975
Yerinde,20,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4122
Yikamaci,30,"Hayir, standart yeterli",1,Ankara,Kecioren,3731
Yerinde,10,"Hayir, standart yeterli",2,Ankara,Kecioren,3115
Yerinde,40,"Evet, cikmasi gereken lekeler var",1,Ankara,Cankaya,3938
Yikamaci,40,"Hayir, standart yeterli",3,Antalya,Kepez,3742
Yerinde,20,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,2804
Yikamaci,30,"Hayir, standart yeterli",1,Ankara,Cankaya,3721
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,2653
Yikamaci,30,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,3482
Yikamaci,20,"Evet, cikmasi gereken lekeler var",4,Ankara,Cankaya,4135
Yerinde,20,"Hayir, standart yeterli",3,Ankara,Kecioren,3462
Yikamaci,30,"Hayir, standart yeterli",3,Ankara,Kecioren,3986
Yikamaci,40,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,3277
Yikamaci,10,"Evet, cikmasi gereken lekeler var",2,Istanbul,Besiktas,4642
Yikamaci,30,"Hayir, standart yeterli",1,Istanbul,Besiktas,4666
Yerinde,40,"Hayir, standart yeterli",1,Ankara,Kecioren,3646
Yerinde,10,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4055
Yikamaci,40,"Hayir, standart yeterli",4,Aydin,Efeler,3631
Yerinde,10,"Evet, cikmasi gereken lekeler var",2,Antalya,Kepez,2961
Yerinde,10,"Evet, cikmasi gereken lekeler var",3,Ankara,Cankaya,3547
Yikamaci,20,"Evet, cikmasi gereken lekeler var",4,Adana,Cukurova,3134
Yerinde,20,"Hayir, standart yeterli",3,Istanbul,Kadikoy,4404
Yerinde,10,"Hayir, standart yeterli",1,Ankara,Cankaya,2991
Yikamaci,30,"Hayir, standart yeterli",2,Ankara,Kecioren,3936
Yikamaci,30,"Hayir, standart yeterli",1,Adana,Seyhan,2763
Yikamaci,10,"Hayir, standart yeterli",3,Adana,Seyhan,2580
Yerinde,10,"Hayir, standart yeterli",4,Adana,Cukurova,2516
Yikamaci,20,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4627
Yikamaci,40,"Evet, cikmasi gereken lekeler var",4,Aydin,Nazilli,3858
Yerinde,10,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4214
Yerinde,20,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,2614
Yikamaci,10,"Hayir, standart yeterli",2,Adana,Cukurova,2389
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Adana,Cukurova,3305
Yerinde,40,"Hayir, standart yeterli",4,Adana,Seyhan,3110
Yerinde,40,"Hayir, standart yeterli",4,Istanbul,Besiktas,5123
Yerinde,20,"Hayir, standart yeterli",1,Adana,Cukurova,2258
Yikamaci,30,"Hayir, standart yeterli",1,Ankara,Kecioren,3601
Yikamaci,40,"Hayir, standart yeterli",3,Aydin,Nazilli,3401
Yikamaci,30,"Evet, cikmasi gereken lekeler var",4,Antalya,Kepez,3951
Yerinde,40,"Evet, cikmasi gereken lekeler var",4,Antalya,Muratpasa,3898
Yerinde,40,"Hayir, standart yeterli",1,Istanbul,Besiktas,4630
Yerinde,20,"Hayir, standart yeterli",1,Istanbul,Besiktas,4186
Yikamaci,40,"Hayir, standart yeterli",2,Antalya,Kepez,3494
Yikamaci,10,"Hayir, standart yeterli",4,Aydin,Efeler,2880
Yikamaci,10,"Hayir, standart yeterli",4,Ankara,Cankaya,3764
Yerinde,30,"Hayir, standart yeterli",3,Ankara,Cankaya,3671
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,4008
Yerinde,40,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4668
Yerinde,20,"Evet, cikmasi gereken lekeler var",4,Antalya,Kepez,3439
Yikamaci,40,"Hayir, standart yeterli",2,Antalya,Muratpasa,3498
Yikamaci,10,"Hayir, standart yeterli",1,Aydin,Nazilli,2592
Yerinde,20,"Hayir, standart yeterli",4,Aydin,Efeler,2827
Yerinde,30,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4646
Yikamaci,30,"Hayir, standart yeterli",4,Aydin,Efeler,3322
Yerinde,40,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,3325
Yikamaci,20,"Hayir, standart yeterli",2,Aydin,Efeler,2935
Yikamaci,10,"Hayir, standart yeterli",4,Antalya,Kepez,3179
Yikamaci,30,"Hayir, standart yeterli",3,Adana,Seyhan,2979
Yikamaci,40,"Hayir, standart yeterli",3,Ankara,Kecioren,4185
Yerinde,20,"Evet, cikmasi gereken lekeler var",1,Aydin,Nazilli,2644
Yerinde,40,"Hayir, standart yeterli",1,Adana,Cukurova,2621
Yikamaci,30,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,3099
Yikamaci,30,"Evet, cikmasi gereken lekeler var",4,Adana,Cukurova,3490
Yikamaci,10,"Evet, cikmasi gereken lekeler var",3,Adana,Cukurova,2925
Yerinde,10,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,2347
Yikamaci,20,"Hayir, standart yeterli",4,Adana,Cukurova,2911
Yikamaci,30,"Hayir, standart yeterli",2,Ankara,Cankaya,3912
Yikamaci,40,"Hayir, standart yeterli",4,Aydin,Efeler,3534
Yikamaci,40,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,3702
Yerinde,10,"Evet, cikmasi gereken lekeler var",3,Ankara,Kecioren,3617
Yikamaci,40,"Hayir, standart yeterli",3,Antalya,Muratpasa,3800
Yerinde,40,"Hayir, standart yeterli",4,Aydin,Efeler,3312
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,3868
Yerinde,40,"Hayir, standart yeterli",2,Adana,Cukurova,2839
Yerinde,10,"Evet, cikmasi gereken lekeler var",3,Adana,Seyhan,2557
Yikamaci,20,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,3160
Yerinde,30,"Hayir, standart yeterli",1,Istanbul,Besiktas,4371
Yerinde,30,"Hayir, standart yeterli",4,Antalya,Kepez,3323
Yikamaci,10,"Evet, cikmasi gereken lekeler var",4,Aydin,Nazilli,3201
Yikamaci,40,"Hayir, standart yeterli",3,Ankara,Kecioren,4154
Yerinde,20,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4308
Yerinde,20,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4132
Yerinde,10,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,2701
Yikamaci,40,"Hayir, standart yeterli",1,Ankara,Kecioren,3899
Yikamaci,10,"Hayir, standart yeterli",3,Ankara,Cankaya,3622
Yikamaci,20,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,3531
Yikamaci,40,"Hayir, standart yeterli",4,Antalya,Kepez,3876
Yikamaci,30,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,4046
Yikamaci,20,"Hayir, standart yeterli",3,Ankara,Kecioren,3861
Yerinde,40,"Hayir, standart yeterli",2,Ankara,Cankaya,3848
Yikamaci,30,"Evet, cikmasi gereken lekeler var",1,Antalya,Kepez,3443
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,3655
Yikamaci,20,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4720
Yerinde,20,"Hayir, standart yeterli",4,Ankara,Kecioren,3628
Yerinde,40,"Hayir, standart yeterli",1,Ankara,Cankaya,3550
Yerinde,20,"Hayir, standart yeterli",2,Antalya,Kepez,2785
Yerinde,20,"Evet, cikmasi gereken lekeler var",3,Ankara,Cankaya,3743
Yikamaci,30,"Hayir, standart yeterli",4,Ankara,Kecioren,4088
Yerinde,40,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,3643
Yerinde,20,"Hayir, standart yeterli",1,Adana,Cukurova,2190
Yerinde,10,"Hayir, standart yeterli",3,Istanbul,Besiktas,4346
Yikamaci,30,"Hayir, standart yeterli",4,Adana,Seyhan,3116
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Adana,Cukurova,3512
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Antalya,Kepez,3163
Yikamaci,30,"Hayir, standart yeterli",2,Antalya,Kepez,3412
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Aydin,Nazilli,2858
Yerinde,40,"Hayir, standart yeterli",1,Antalya,Muratpasa,3040
Yikamaci,30,"Hayir, standart yeterli",3,Aydin,Efeler,3179
Yikamaci,40,"Evet, cikmasi gereken lekeler var",2,Adana,Seyhan,3248
Yikamaci,40,"Hayir, standart yeterli",1,Adana,Seyhan,2927
Yerinde,10,"Hayir, standart yeterli",1,Ankara,Cankaya,3060
Yikamaci,40,"Evet, cikmasi gereken lekeler var",4,Istanbul,Kadikoy,5507
Yerinde,40,"Evet, cikmasi gereken lekeler var",1,Adana,Seyhan,2782
Yerinde,30,"Hayir, standart yeterli",3,Adana,Cukurova,2671
Yerinde,40,"Evet, cikmasi gereken lekeler var",1,Istanbul,Kadikoy,4833
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Adana,Seyhan,3268
Yikamaci,10,"Evet, cikmasi gereken lekeler var",1,Adana,Seyhan,2589
Yikamaci,20,"Hayir, standart yeterli",4,Aydin,Efeler,3052
Yikamaci,40,"Evet, cikmasi gereken lekeler var",1,Istanbul,Besiktas,5216
Yikamaci,10,"Hayir, standart yeterli",4,Aydin,Efeler,2968
Yerinde,40,"Hayir, standart yeterli",1,Aydin,Nazilli,2874
Yikamaci,40,"Hayir, standart yeterli",1,Antalya,Muratpasa,3421
Yikamaci,10,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,3762
Yikamaci,30,"Hayir, standart yeterli",2,Aydin,Nazilli,3019
Yerinde,40,"Evet, cikmasi gereken lekeler var",1,Istanbul,Kadikoy,4897
Yerinde,30,"Hayir, standart yeterli",3,Aydin,Nazilli,2985
Yerinde,10,"Hayir, standart yeterli",3,Antalya,Muratpasa,2839
Yerinde,40,"Hayir, standart yeterli",1,Ankara,Cankaya,3537
Yikamaci,30,"Hayir, standart yeterli",3,Adana,Seyhan,3018
Yerinde,30,"Hayir, standart yeterli",1,Ankara,Cankaya,3330
Yerinde,40,"Hayir, standart yeterli",2,Aydin,Efeler,2980
Yikamaci,30,"Hayir, standart yeterli",1,Antalya,Muratpasa,3102
Yikamaci,40,"Hayir, standart yeterli",4,Ankara,Cankaya,4442
Yerinde,10,"Hayir, standart yeterli",1,Adana,Cukurova,2043
Yerinde,30,"Hayir, standart yeterli",2,Aydin,Nazilli,2845
Yerinde,30,"Hayir, standart yeterli",3,Ankara,Cankaya,3677
Yikamaci,40,"Evet, cikmasi gereken lekeler var",1,Istanbul,Besiktas,5225
Yikamaci,20,"Hayir, standart yeterli",3,Ankara,Cankaya,3768
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Aydin,Nazilli,2485
Yerinde,30,"Evet, cikmasi gereken lekeler var",2,Ankara,Cankaya,3810
Yikamaci,20,"Hayir, standart yeterli",4,Antalya,Kepez,3495
Yerinde,20,"Hayir, standart yeterli",1,Aydin,Efeler,2436
Yerinde,10,"Hayir, standart yeterli",2,Aydin,Efeler,2321
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Istanbul,Besiktas,5237
Yikamaci,30,"Hayir, standart yeterli",2,Antalya,Kepez,3362
Yikamaci,10,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,4869
Yerinde,20,"Hayir, standart yeterli",4,Ankara,Cankaya,3604
Yerinde,40,"Evet, cikmasi gereken lekeler var",4,Ankara,Cankaya,4226
Yikamaci,10,"Hayir, standart yeterli",4,Istanbul,Kadikoy,4808
Yerinde,40,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,3243
Yerinde,10,"Evet, cikmasi gereken lekeler var",2,Antalya,Kepez,2850
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Ankara,Kecioren,3765
Yikamaci,40,"Hayir, standart yeterli",1,Istanbul,Besiktas,4921
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,2711
Yikamaci,40,"Hayir, standart yeterli",4,Istanbul,Kadikoy,5297
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,2926
Yikamaci,20,"Hayir, standart yeterli",2,Ankara,Cankaya,3591
Yikamaci,20,"Hayir, standart yeterli",1,Istanbul,Besiktas,4490
Yikamaci,30,"Hayir, standart yeterli",4,Adana,Seyhan,3161
