yikama_yeri,metrekare,leke_durumu,parca_sayisi,il,ilce,fiyat
Yikamaci,45,"Evet, cikmasi gereken lekeler var",2,Aydin,Nazilli,3548
Yerinde,15,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,4639
Yikamaci,25,"Hayir, standart yeterli",1,Aydin,Efeler,2712
Yikamaci,30,"Hayir, standart yeterli",1,Aydin,Efeler,2951
Yerinde,30,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4346
Yerinde,45,"Hayir, standart yeterli",1,Ankara,Kecioren,3654
Yerinde,10,"Hayir, standart yeterli",4,Antalya,Kepez,2996
Yikamaci,35,"Hayir, standart yeterli",3,Adana,Cukurova,3110
Yikamaci,20,"Hayir, standart yeterli",2,Istanbul,Besiktas,4572
Yikamaci,10,"Hayir, standart yeterli",4,Ankara,Kecioren,3655
Yerinde,15,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,2514
Yerinde,50,"Hayir, standart yeterli",3,Istanbul,Kadikoy,5113
Yikamaci,50,"Evet, cikmasi gereken lekeler var",1,Ankara,Kecioren,4396
Yikamaci,10,"Evet, cikmasi gereken lekeler var",3,Adana,Cukurova,2789
Yerinde,40,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,3264
Yikamaci,20,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,3490
Yerinde,10,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,3106
Yikamaci,25,"Hayir, standart yeterli",2,Aydin,Nazilli,2958
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Istanbul,Besiktas,4339
Yerinde,50,"Evet, cikmasi gereken lekeler var",4,Aydin,Efeler,3702
Yikamaci,45,"Evet, cikmasi gereken lekeler var",3,Aydin,Efeler,3676
Yikamaci,45,"Hayir, standart yeterli",2,Istanbul,Besiktas,5068
Yikamaci,30,"Evet, cikmasi gereken lekeler var",4,Aydin,Nazilli,3505
Yerinde,25,"Evet, cikmasi gereken lekeler var",4,Antalya,Muratpasa,3477
Yikamaci,10,"Hayir, standart yeterli",4,Istanbul,Kadikoy,4697
Yikamaci,35,"Evet, cikmasi gereken lekeler var",1,Aydin,Nazilli,3345
Yerinde,45,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4642
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Aydin,Efeler,3121
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Istanbul,Besiktas,4920
Yerinde,30,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,3244
Yerinde,45,"Hayir, standart yeterli",3,Ankara,Cankaya,4068
Yerinde,40,"Evet, cikmasi gereken lekeler var",3,Ankara,Cankaya,4095
Yerinde,10,"Hayir, standart yeterli",4,Antalya,Kepez,3024
Yikamaci,10,"Hayir, standart yeterli",3,Ankara,Cankaya,3555
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,3236
Yerinde,25,"Hayir, standart yeterli",4,Aydin,Nazilli,2941
Yikamaci,15,"Hayir, standart yeterli",3,Ankara,Cankaya,3665
Yerinde,10,"Evet, cikmasi gereken lekeler var",4,Ankara,Kecioren,3735
Yerinde,10,"Hayir, standart yeterli",4,Adana,Seyhan,2463
Yerinde,45,"Hayir, standart yeterli",2,Adana,Seyhan,2769
Yerinde,30,"Evet, cikmasi gereken lekeler var",4,Istanbul,Kadikoy,5171
Yerinde,30,"Evet, cikmasi gereken lekeler var",1,Ankara,Kecioren,3745
Yikamaci,50,"Hayir, standart yeterli",3,Antalya,Muratpasa,3938
Yikamaci,30,"Hayir, standart yeterli",4,Antalya,Kepez,3629
Yikamaci,50,"Hayir, standart yeterli",3,Adana,Seyhan,3423
Yerinde,10,"Evet, cikmasi gereken lekeler var",4,Aydin,Nazilli,2809
Yerinde,10,"Hayir, standart yeterli",4,Adana,Seyhan,2407
Yerinde,40,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,5203
Yikamaci,10,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4410
Yerinde,40,"Hayir, standart yeterli",2,Aydin,Efeler,2986
Yikamaci,10,"Evet, cikmasi gereken lekeler var",3,Aydin,Efeler,3149
Yikamaci,10,"Hayir, standart yeterli",3,Istanbul,Kadikoy,4501
Yikamaci,45,"Hayir, standart yeterli",3,Adana,Seyhan,3306
Yikamaci,25,"Evet, cikmasi gereken lekeler var",4,Aydin,Nazilli,3415
Yerinde,25,"Evet, cikmasi gereken lekeler var",3,Istanbul,Besiktas,4815
Yerinde,50,"Hayir, standart yeterli",4,Ankara,Cankaya,4215
Yerinde,35,"Hayir, standart yeterli",1,Istanbul,Besiktas,4505
Yerinde,10,"Evet, cikmasi gereken lekeler var",3,Adana,Cukurova,2585
Yikamaci,35,"Hayir, standart yeterli",4,Adana,Cukurova,3163
Yerinde,50,"Evet, cikmasi gereken lekeler var",2,Istanbul,Besiktas,5270
Yerinde,30,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4406
Yikamaci,45,"Evet, cikmasi gereken lekeler var",2,Adana,Seyhan,3455
Yikamaci,50,"Hayir, standart yeterli",3,Antalya,Muratpasa,3856
Yikamaci,10,"Hayir, standart yeterli",1,Aydin,Efeler,2445
Yerinde,10,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,3147
Yerinde,20,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,2929
Yikamaci,10,"Hayir, standart yeterli",4,Adana,Cukurova,2664
Yikamaci,50,"Hayir, standart yeterli",2,Ankara,Kecioren,4285
Yerinde,45,"Evet, cikmasi gereken lekeler var",4,Antalya,Muratpasa,3953
Yikamaci,30,"Hayir, standart yeterli",2,Istanbul,Besiktas,4822
Yikamaci,50,"Hayir, standart yeterli",1,Adana,Cukurova,3122
Yikamaci,10,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,3146
Yerinde,15,"Evet, cikmasi gereken lekeler var",1,Ankara,Cankaya,3383
Yikamaci,40,"Hayir, standart yeterli",4,Istanbul,Besiktas,5268
Yerinde,40,"Hayir, standart yeterli",4,Adana,Cukurova,2979
Yerinde,45,"Hayir, standart yeterli",2,Ankara,Kecioren,3764
Yikamaci,40,"Hayir, standart yeterli",4,Antalya,Muratpasa,3868
Yikamaci,30,"Evet, cikmasi gereken lekeler var",1,Istanbul,Kadikoy,4918
Yerinde,30,"Hayir, standart yeterli",4,Antalya,Kepez,3364
Yikamaci,35,"Hayir, standart yeterli",3,Antalya,Kepez,3515
Yikamaci,30,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,2975
Yerinde,10,"Hayir, standart yeterli",2,Antalya,Kepez,2649
Yerinde,10,"Hayir, standart yeterli",1,Antalya,Kepez,2544
Yikamaci,25,"Evet, cikmasi gereken lekeler var",4,Aydin,Efeler,3466
Yerinde,50,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,3298
Yerinde,25,"Hayir, standart yeterli",1,Adana,Cukurova,2288
Yerinde,20,"Hayir, standart yeterli",4,Ankara,Kecioren,3650
Yikamaci,15,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4535
Yerinde,15,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,3180
Yerinde,20,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4226
Yerinde,20,"Hayir, standart yeterli",4,Ankara,Kecioren,3715
Yikamaci,20,"Hayir, standart yeterli",1,Aydin,Efeler,2691
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Istanbul,Kadikoy,4252
Yerinde,50,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,3033
Yikamaci,45,"Hayir, standart yeterli",4,Adana,Cukurova,3410
Yikamaci,45,"Evet, cikmasi gereken lekeler var",4,Istanbul,Kadikoy,5744
Yerinde,40,"Hayir, standart yeterli",3,Adana,Seyhan,2919
Yikamaci,25,"Hayir, standart yeterli",4,Adana,Cukurova,3031
Yerinde,35,"Evet, cikmasi gereken lekeler var",4,Ankara,Kecioren,4260
Yikamaci,50,"Evet, cikmasi gereken lekeler var",2,Aydin,Nazilli,3676
Yerinde,40,"Hayir, standart yeterli",4,Ankara,Cankaya,4131
Yikamaci,15,"Hayir, standart yeterli",1,Adana,Cukurova,2345
Yerinde,10,"Evet, cikmasi gereken lekeler var",3,Adana,Seyhan,2530
Yerinde,50,"Hayir, standart yeterli",3,Adana,Seyhan,3116
Yikamaci,10,"Hayir, standart yeterli",3,Aydin,Efeler,2875
Yikamaci,40,"Hayir, standart yeterli",4,Ankara,Cankaya,4426
Yerinde,45,"Hayir, standart yeterli",4,Antalya,Kepez,3607
Yikamaci,20,"Hayir, standart yeterli",3,Aydin,Nazilli,2921
Yerinde,10,"Evet, cikmasi gereken lekeler var",3,Adana,Seyhan,2626
Yerinde,20,"Evet, cikmasi gereken lekeler var",4,Aydin,Efeler,3198
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Ankara,Cankaya,4215
Yikamaci,15,"Hayir, standart yeterli",3,Aydin,Efeler,2869
Yerinde,30,"Hayir, standart yeterli",3,Ankara,Cankaya,3709
Yikamaci,20,"Hayir, standart yeterli",4,Adana,Seyhan,2945
Yerinde,30,"Hayir, standart yeterli",1,Ankara,Kecioren,3383
Yerinde,10,"Hayir, standart yeterli",1,Adana,Seyhan,1942
Yerinde,15,"Evet, cikmasi gereken lekeler var",3,Ankara,Kecioren,3564
Yikamaci,45,"Hayir, standart yeterli",2,Adana,Seyhan,3237
Yerinde,50,"Hayir, standart yeterli",1,Istanbul,Besiktas,4785
Yikamaci,20,"Hayir, standart yeterli",1,Aydin,Nazilli,2690
Yerinde,30,"Evet, cikmasi gereken lekeler var",2,Aydin,Nazilli,3069
Yerinde,20,"Hayir, standart yeterli",2,Ankara,Kecioren,3330
Yikamaci,20,"Hayir, standart yeterli",2,Aydin,Efeler,2895
Yerinde,45,"Evet, cikmasi gereken lekeler var",2,Aydin,Efeler,3322
Yikamaci,30,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4755
Yerinde,25,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,3136
Yerinde,10,"Evet, cikmasi gereken lekeler var",2,Aydin,Nazilli,2614
Yikamaci,30,"Hayir, standart yeterli",1,Adana,Cukurova,2601
Yerinde,50,"Evet, cikmasi gereken lekeler var",1,Istanbul,Besiktas,5031
Yikamaci,50,"Evet, cikmasi gereken lekeler var",2,Istanbul,Kadikoy,5585
Yikamaci,15,"Evet, cikmasi gereken lekeler var",4,Adana,Cukurova,3179
Yerinde,25,"Hayir, standart yeterli",1,Adana,Cukurova,2356
Yikamaci,50,"Hayir, standart yeterli",2,Antalya,Muratpasa,3775
Yikamaci,10,"Evet, cikmasi gereken lekeler var",3,Istanbul,Besiktas,4862
Yikamaci,30,"Hayir, standart yeterli",2,Adana,Cukurova,2904
Yikamaci,50,"Evet, cikmasi gereken lekeler var",2,Istanbul,Besiktas,5588
Yerinde,45,"Hayir, standart yeterli",4,Antalya,Muratpasa,3748
Yerinde,50,"Hayir, standart yeterli",1,Adana,Cukurova,2743
Yerinde,45,"Hayir, standart yeterli",2,Adana,Cukurova,2754
Yikamaci,50,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,4095
Yerinde,45,"Hayir, standart yeterli",3,Antalya,Muratpasa,3484
Yerinde,40,"Hayir, standart yeterli",1,Ankara,Kecioren,3628
Yerinde,50,"Hayir, standart yeterli",1,Ankara,Kecioren,3752
Yikamaci,50,"Hayir, standart yeterli",1,Aydin,Nazilli,3332
Yerinde,10,"Hayir, standart yeterli",2,Aydin,Efeler,2263
Yikamaci,25,"Hayir, standart yeterli",2,Istanbul,Besiktas,4761
